id	uline行业号	uline行业名	状态	阿里新行业号	阿里新行业名	微信行业号	微信行业名	京东新行业号	京东新行业名
21	161215010100021	企业-餐饮/食品-中餐-上海本帮菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
22	161215010100022	企业-餐饮/食品-中餐-淮扬菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
23	161215010100023	企业-餐饮/食品-火锅-麻辣烫/串串香	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
24	161215010100024	企业-餐饮/食品-火锅-川味/重庆火锅	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
25	161215010100025	企业-餐饮/食品-火锅-云南火锅	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
26	161215010100026	企业-餐饮/食品-火锅-老北京涮羊肉	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
27	161215010100027	企业-餐饮/食品-火锅-港式火锅	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
28	161215010100028	企业-餐饮/食品-火锅-鱼火锅	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
29	161215010100029	企业-餐饮/食品-火锅-羊蝎子	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
30	161215010100030	企业-餐饮/食品-火锅-炭火锅	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
31	161215010100031	企业-餐饮/食品-火锅-韩式火锅	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
32	161215010100032	企业-餐饮/食品-火锅-豆捞	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
33	161215010100033	企业-餐饮/食品-火锅-其它火锅	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
34	161215010100034	企业-餐饮/食品-烧烤-中式烧烤	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
35	161215010100035	企业-餐饮/食品-烧烤-拉美烧烤	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
36	161215010100036	企业-餐饮/食品-烧烤-日式烧烤	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
37	161215010100037	企业-餐饮/食品-烧烤-铁板烧	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
38	161215010100038	企业-餐饮/食品-烧烤-韩式烧烤	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
39	161215010100039	企业-餐饮/食品-烧烤-其它烧烤	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
40	161215010100040	企业-餐饮/食品-其他美食-自助餐	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
41	161215010100041	企业-餐饮/食品-其他美食-创意菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
42	161215010100042	企业-餐饮/食品-其他美食-西餐	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
43	161215010100043	企业-餐饮/食品-其他美食-日韩料理	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
44	161215010100044	企业-餐饮/食品-其他美食-东南亚菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
45	161215010100045	企业-餐饮/食品-其他美食-素食	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
46	161215010100046	企业-餐饮/食品-其他美食-其他餐饮美食	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
47	161215010100047	企业-餐饮/食品-其他美食-清真菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
48	161215010100048	企业-餐饮/食品-其他美食-茶餐厅	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
49	161215010100049	企业-餐饮/食品-其他美食-土菜/农家菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
50	161215010100050	企业-餐饮/食品-其他美食-采摘/农家乐	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
51	161215010100051	企业-餐饮/食品-汤/粥/煲/砂锅/炖菜-粥	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
52	161215010100052	企业-餐饮/食品-汤/粥/煲/砂锅/炖菜-汤	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
53	161215010100053	企业-餐饮/食品-汤/粥/煲/砂锅/炖菜-砂锅/煲类/炖菜	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
54	161215010100054	企业-餐饮/食品-汤/粥/煲/砂锅/炖菜-其它	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
55	161215010100055	企业-餐饮/食品-快餐-西式快餐	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
56	161215010100056	企业-餐饮/食品-快餐-中式快餐	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
57	161215010100057	企业-餐饮/食品-快餐-其它快餐	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
58	161215010100058	企业-餐饮/食品-休闲食品-零食	1	2015050700000000	美食	90	企业-餐饮/食品-餐饮	011002	本地生活服务-餐饮门店
59	161215010100059	企业-餐饮/食品-休闲食品-生鲜水果	1	2015050700000000	美食	90	企业-餐饮/食品-餐饮	011002	本地生活服务-餐饮门店
60	161215010100060	企业-餐饮/食品-休闲食品-其它休闲食品	1	2015050700000000	美食	90	企业-餐饮/食品-餐饮	011002	本地生活服务-餐饮门店
61	161215010100061	企业-餐饮/食品-休闲食品-美食特产	1	2015050700000000	美食	90	企业-餐饮/食品-餐饮	011002	本地生活服务-餐饮门店
62	161215010100062	企业-餐饮/食品-小吃-熟食	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
63	161215010100063	企业-餐饮/食品-小吃-面点	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
64	161215010100064	企业-餐饮/食品-小吃-米粉/米线	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
65	161215010100065	企业-餐饮/食品-小吃-其它小吃	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
66	161215010100066	企业-餐饮/食品-休闲茶饮-咖啡	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
67	161215010100067	企业-餐饮/食品-休闲茶饮-奶茶	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
68	161215010100068	企业-餐饮/食品-休闲茶饮-冰激凌	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
69	161215010100069	企业-餐饮/食品-休闲茶饮-饮品/甜点	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
70	161215010100070	企业-餐饮/食品-休闲茶饮-咖啡厅	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
71	161215010100071	企业-餐饮/食品-休闲茶饮-酒吧	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
72	161215010100072	企业-餐饮/食品-烘焙糕点-蛋糕	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
73	161215010100073	企业-餐饮/食品-烘焙糕点-面包	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
74	161215010100074	企业-餐饮/食品-烘焙糕点-其它烘焙糕点	1	2015050700000000	美食	270	企业-餐饮/食品-食品	011002	本地生活服务-餐饮门店
75	161215010100075	企业-零售/批发-超市便利店-超市	1	2015091000052157	超市便利店	204	企业-线下零售-超市	009001	零售业（线下实体店）-超市
76	161215010100076	企业-零售/批发-超市便利店-个人护理	1	2015091000052157	超市便利店	205	企业-线下零售-便利店	009002	零售业（线下实体店）-便利店
77	161215010100077	企业-零售/批发-超市便利店-便利店	1	2015091000052157	超市便利店	205	企业-线下零售-便利店	009002	零售业（线下实体店）-便利店
78	161215010100078	企业-零售/批发-超市便利店-烟酒杂货	1	2015091000052157	超市便利店	205	企业-线下零售-便利店	009002	零售业（线下实体店）-便利店
79	161215010100079	企业-零售/批发-超市便利店-自动售卖机	1	2015091000052157	超市便利店	206	企业-线下零售-自动贩卖机	009004	零售业（线下实体店）-自助售卖机
80	161215010100080	企业-娱乐/美容/健身服务-K歌-量贩式KTV	1	2015062600004525	休闲娱乐	56	企业-娱乐/健身服务-游艺厅/KTV/网吧	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务  
81	161215010100081	企业-娱乐/美容/健身服务-K歌-会所型KTV	1	2015062600004525	休闲娱乐	56	企业-娱乐/健身服务-游艺厅/KTV/网吧	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务  
82	161215010100082	企业-娱乐/美容/健身服务-K歌-录音棚	1	2015062600004525	休闲娱乐	56	企业-娱乐/健身服务-游艺厅/KTV/网吧	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务  
83	161215010100083	企业-娱乐/美容/健身服务-休闲娱乐-棋牌休闲	1	2015062600004525	休闲娱乐	280	企业-娱乐/健身服务-俱乐部/休闲会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
84	161215010100084	企业-娱乐/美容/健身服务-休闲娱乐-中医养生	1	2015062600004525	休闲娱乐	280	企业-娱乐/健身服务-俱乐部/休闲会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
85	161215010100085	企业-娱乐/美容/健身服务-休闲娱乐-足疗按摩	1	2015062600004525	休闲娱乐	280	企业-娱乐/健身服务-俱乐部/休闲会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
86	161215010100086	企业-娱乐/美容/健身服务-休闲娱乐-洗浴/桑拿会所	1	2015062600004525	休闲娱乐	280	企业-娱乐/健身服务-俱乐部/休闲会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
87	161215010100087	企业-娱乐/美容/健身服务-休闲娱乐-网吧网咖	1	2015062600004525	休闲娱乐	56	企业-娱乐/健身服务-游艺厅/KTV/网吧	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
88	161215010100088	企业-娱乐/美容/健身服务-休闲娱乐-游乐游艺	1	2015062600004525	休闲娱乐	56	企业-娱乐/健身服务-游艺厅/KTV/网吧	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
89	161215010100089	企业-娱乐/美容/健身服务-休闲娱乐-图书馆	1	2015062600004525	休闲娱乐	280	企业-娱乐/健身服务-俱乐部/休闲会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
90	161215010100090	企业-娱乐/美容/健身服务-休闲娱乐-密室	1	2015062600004525	休闲娱乐	56	企业-娱乐/健身服务-游艺厅/KTV/网吧	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
91	161215010100091	企业-娱乐/美容/健身服务-休闲娱乐-桌面游戏	1	2015062600004525	休闲娱乐	56	企业-娱乐/健身服务-游艺厅/KTV/网吧	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
92	161215010100092	企业-娱乐/美容/健身服务-休闲娱乐-真人CS	1	2015062600004525	休闲娱乐	56	企业-娱乐/健身服务-游艺厅/KTV/网吧	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
93	161215010100093	企业-娱乐/美容/健身服务-美发/美容/美甲-美甲/手护	1	2015063000020189	生活服务	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
94	161215010100094	企业-娱乐/美容/健身服务-美发/美容/美甲-SPA/美容/美体	1	2015063000020189	生活服务	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
95	161215010100095	企业-娱乐/美容/健身服务-美发/美容/美甲-美容美发	1	2015063000020189	生活服务	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务  
96	161215010100096	企业-娱乐/美容/健身服务-美发/美容/美甲-美容美甲	1	2015063000020189	生活服务	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
97	161215010100097	企业-娱乐/美容/健身服务-美发/美容/美甲-美发美甲	1	2015063000020189	生活服务	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
98	161215010100098	企业-娱乐/美容/健身服务-美发/美容/美甲-美发	1	2015063000020189	生活服务	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务  
99	161215010100099	企业-娱乐/美容/健身服务-美发/美容/美甲-彩妆造型	1	2015063000020189	生活服务	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
100	161215010100100	企业-娱乐/美容/健身服务-美发/美容/美甲-美睫	1	2015063000020189	生活服务	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
101	161215010100101	企业-娱乐/美容/健身服务-美发/美容/美甲-产后塑形	1	2015063000020189	生活服务	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
102	161215010100102	企业-娱乐/美容/健身服务-美发/美容/美甲-纹绣	1	2015063000020189	生活服务	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
103	161215010100103	企业-娱乐/美容/健身服务-美发/美容/美甲-纹身	1	2015063000020189	生活服务	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
104	161215010100104	企业-娱乐/美容/健身服务-美发/美容/美甲-祛痘	1	2015063000020189	生活服务	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
105	161215010100105	企业-娱乐/美容/健身服务-美发/美容/美甲-整形	1	2015063000020189	生活服务	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
106	161215010100106	企业-娱乐/美容/健身服务-运动健身-篮球场	1	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
107	161215010100107	企业-娱乐/美容/健身服务-运动健身-舞蹈	1	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
108	161215010100108	企业-娱乐/美容/健身服务-运动健身-网球场	1	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
109	161215010100109	企业-娱乐/美容/健身服务-运动健身-乒乓球馆	1	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
110	161215010100110	企业-娱乐/美容/健身服务-运动健身-游泳馆	1	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
111	161215010100111	企业-娱乐/美容/健身服务-运动健身-羽毛球馆	1	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
112	161215010100112	企业-娱乐/美容/健身服务-运动健身-桌球馆	1	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
113	161215010100113	企业-娱乐/美容/健身服务-运动健身-瑜伽	1	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
114	161215010100114	企业-娱乐/美容/健身服务-运动健身-足球场	1	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
115	161215010100115	企业-娱乐/美容/健身服务-运动健身-武术场馆	1	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
116	161215010100116	企业-娱乐/美容/健身服务-运动健身-溜冰场	1	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
117	161215010100117	企业-娱乐/美容/健身服务-运动健身-保龄球馆	1	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
118	161215010100118	企业-娱乐/美容/健身服务-运动健身-壁球场	1	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
119	161215010100119	企业-娱乐/美容/健身服务-运动健身-排球场	1	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
120	161215010100120	企业-娱乐/美容/健身服务-运动健身-高尔夫球场	1	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
121	161215010100121	企业-娱乐/美容/健身服务-运动健身-体育场馆	1	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
122	161215010100122	企业-娱乐/美容/健身服务-运动健身-健身中心	1	2015062600004525	休闲娱乐	54	企业-娱乐/健身服务-美容/健身类会所	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
123	161215010100123	企业-生活/家居-宠物-宠物店	1	2015063000020189	生活服务	284	企业-生活/家居-宠物/宠物食品/饲料	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务  
124	161215010100124	企业-生活/家居-宠物-宠物医院	1	2015063000020189	生活服务	284	企业-生活/家居-宠物/宠物食品/饲料	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务  
125	161215010100125	企业-生活/咨询服务-婚庆/摄影-婚礼策划	1	2015063000020189	生活服务	273	企业-生活/咨询服务-婚庆/摄影	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
126	161215010100126	企业-生活/咨询服务-婚庆/摄影-婚纱/礼服	1	2015063000020189	生活服务	273	企业-生活/咨询服务-婚庆/摄影	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
127	161215010100127	企业-生活/咨询服务-婚庆/摄影-婚车租赁	1	2015063000020189	生活服务	273	企业-生活/咨询服务-婚庆/摄影	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
128	161215010100128	企业-生活/咨询服务-婚庆/摄影-旅拍/本地婚纱照	1	2015063000020189	生活服务	273	企业-生活/咨询服务-婚庆/摄影	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
129	161215010100129	企业-生活/咨询服务-婚庆/摄影-本地婚纱摄影	1	2015063000020189	生活服务	273	企业-生活/咨询服务-婚庆/摄影	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
130	161215010100130	企业-生活/咨询服务-婚庆/摄影-儿童摄影	1	2015063000020189	生活服务	273	企业-生活/咨询服务-婚庆/摄影	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
131	161215010100131	企业-生活/咨询服务-婚庆/摄影-孕妇摄影	1	2015063000020189	生活服务	273	企业-生活/咨询服务-婚庆/摄影	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
132	161215010100132	企业-生活/咨询服务-婚庆/摄影-艺术写真	1	2015063000020189	生活服务	273	企业-生活/咨询服务-婚庆/摄影	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
133	161215010100133	企业-生活/咨询服务-婚庆/摄影-跟拍	1	2015063000020189	生活服务	273	企业-生活/咨询服务-婚庆/摄影	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
134	161215010100134	企业-生活/咨询服务-婚庆/摄影-证件照	1	2015063000020189	生活服务	273	企业-生活/咨询服务-婚庆/摄影	011006	本地生活服务-婚介交友/咨询服务/婚庆/汽车保养/娱乐休闲/广告设计/宠物服务/衣物保养/维修服务 
